"",,Net,Net cash,Net,Net,Net cash,Net,Net,Net cash,Net
"",Premiums,amount,surrender,death,amount,surrender,death,amount,surrender,death
Policy,you pay,you pay,value,benefit,you pay,value,benefit,you pay,value,benefit
year,($),($),($),($),($),($),($),($),($),($)
15,0,0,"492,702","1,691,620",0,"502,567","1,691,620",0,"512,344","1,691,620"
20,0,0,0,"1,691,620",0,"60,912","1,691,620",0,"434,063","1,691,620"
25,0,0,0,"1,691,620",0,0,"1,691,620",0,"42,031","1,691,620"
30,0,0,0,"1,691,620",0,0,"1,691,620",0,0,"1,691,620"
35,0,0,0,"1,691,620",0,0,"1,691,620",0,0,"1,691,620"
40,0,0,0,"1,691,620",0,0,"1,691,620",0,0,"1,691,620"
45,0,0,0,"1,691,620",0,0,"1,691,620",0,0,"1,691,620"
50,0,0,0,"1,691,620",0,0,"1,691,620",0,0,"1,691,620"
52,0,0,0,"1,691,620",0,0,"1,691,620",0,0,"1,691,620"
