"",,,Guaranteed,,,Not Guaranteed,
"",,,at rate of 3.00%,,,at illustrated scale (3.85%),
"",,,Policy Net cash,,Assumed,Policy Net cash,
"",,Premiums,value less surrender,Net death,amount of,value less surrender,Net death
Policy,,you pay,policy debt value,benefit,withdrawal,policy debt value,benefit
year,Age,($),($) ($),($),($),($) ($),($)
15,84/83,0,"492,702 492,702","1,691,620",0,"512,344 512,344","1,691,620"
16,85/84,0,"396,784 396,784","1,691,620",0,"510,740 510,740","1,691,620"
17,86/85,0,"270,484 270,484","1,691,620",0,"504,768 504,768","1,691,620"
18,87/86,0,"104,292 104,292","1,691,620",0,"492,635 492,635","1,691,620"
19,88/87,0,0 0,"1,691,620",0,"470,446 470,446","1,691,620"
Total,,0,,,0,,
20,89/88,0,0 0,"1,691,620",0,"434,063 434,063","1,691,620"
21,90/89,0,0 0,"1,691,620",0,"384,697 384,697","1,691,620"
22,91/90,0,0 0,"1,691,620",0,"321,043 321,043","1,691,620"
23,92/91,0,0 0,"1,691,620",0,"246,788 246,788","1,691,620"
24,93/92,0,0 0,"1,691,620",0,"151,025 151,025","1,691,620"
Total,,0,,,0,,
25,94/93,0,0 0,"1,691,620",0,"42,031 42,031","1,691,620"
26,95/94,0,0 0,"1,691,620",0,0 0,"1,691,620"
27,96/95,0,0 0,"1,691,620",0,0 0,"1,691,620"
28,97/96,0,0 0,"1,691,620",0,0 0,"1,691,620"
29,98/97,0,0 0,"1,691,620",0,0 0,"1,691,620"
Total,,0,,,0,,
30,99/98,0,0 0,"1,691,620",0,0 0,"1,691,620"
31,100/99,0,0 0,"1,691,620",0,0 0,"1,691,620"
32,101/100,0,0 0,"1,691,620",0,0 0,"1,691,620"
*33,102/101,0,0 0,"1,691,620",0,0 0,"1,691,620"
*34,103/102,0,0 0,"1,691,620",0,0 0,"1,691,620"
Total,,0,,,0,,
*35,104/103,0,0 0,"1,691,620",0,0 0,"1,691,620"
*36,105/104,0,0 0,"1,691,620",0,0 0,"1,691,620"
*37,106/105,0,0 0,"1,691,620",0,0 0,"1,691,620"
*38,107/106,0,0 0,"1,691,620",0,0 0,"1,691,620"
*39,108/107,0,0 0,"1,691,620",0,0 0,"1,691,620"
Total,,0,,,0,,
*40,109/108,0,0 0,"1,691,620",0,0 0,"1,691,620"
*41,110/109,0,0 0,"1,691,620",0,0 0,"1,691,620"
*42,111/110,0,0 0,"1,691,620",0,0 0,"1,691,620"
*43,112/111,0,0 0,"1,691,620",0,0 0,"1,691,620"
*44,113/112,0,0 0,"1,691,620",0,0 0,"1,691,620"
Total,,0,,,0,,
